Species,Test AUC,wc2.1_30s_bio_1_fc,wc2.1_30s_bio_2_fc,wc2.1_30s_bio_3_fc,wc2.1_30s_bio_4_fc,wc2.1_30s_bio_5_fc,wc2.1_30s_bio_6_fc,wc2.1_30s_bio_7_fc,wc2.1_30s_bio_8_fc,wc2.1_30s_bio_9_fc,wc2.1_30s_bio_10_fc,wc2.1_30s_bio_11_fc,wc2.1_30s_bio_12_fc,wc2.1_30s_bio_13_fc,wc2.1_30s_bio_14_fc,wc2.1_30s_bio_15_fc,wc2.1_30s_bio_16_fc,wc2.1_30s_bio_17_fc,wc2.1_30s_bio_18_fc,wc2.1_30s_bio_19_fc,wc2.1_30s_bio_20_fc
Madhuca_bourdillonii,0.721,0.0,12.3,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,16.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4
Myristica_beddomei,0.99,0.0,0.0,0.0,0.0,3.2,0.0,0.2,0.0,0.6,0.0,0.3,0.0,0.0,0.0,73.0,0.0,0.0,19.0,3.1,0.7
Octotropis_travancorica,0.998,0.0,0.1,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.1,11.6,0.0,0.0,0.0,0.0,0.0
Cryptocarya_stocksii,0.994,0.0,0.0,8.0,9.2,0.0,0.0,9.1,16.3,0.0,8.7,0.0,26.9,0.0,5.3,0.0,0.0,0.6,0.0,0.1,15.8
Glochidion_ellipticum,0.86,1.4,11.6,1.9,1.2,0.0,2.2,0.1,0.1,0.0,10.4,0.0,21.8,3.0,0.3,1.5,15.7,1.2,8.4,2.5,16.9
Luvunga_sarmentosa,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,58.9,0.0,0.6,13.4,5.4,2.4
Casearia_ovata,0.791,0.7,5.1,18.9,0.8,0.0,1.2,3.6,5.4,0.0,4.5,0.0,33.7,3.6,5.4,0.5,6.5,0.5,0.4,6.3,3.0
Lagerstroemia_microcarpa,0.901,0.0,0.0,0.3,0.8,0.0,5.1,8.2,12.9,0.0,0.0,0.5,0.6,32.5,14.5,0.5,2.0,0.2,21.1,0.8,0.1
Reinwardtiodendron_anamalaiense,0.906,0.0,3.1,5.7,0.8,0.0,4.2,0.7,0.0,2.2,0.0,0.0,9.5,0.1,0.0,0.0,6.4,2.1,0.1,35.9,29.0
Dysoxylum_gotadhora,0.754,0.0,0.3,0.0,0.0,0.8,0.0,0.7,0.0,0.0,8.8,0.0,0.0,13.3,0.0,40.9,0.0,11.8,0.1,0.5,22.8
Lasianthus_jackianus,0.775,1.0,1.5,0.0,0.0,7.0,0.0,48.9,15.4,1.9,0.0,0.0,2.3,0.0,13.8,1.7,1.2,2.2,1.9,1.2,0.0
Calophyllum_austroindicum,0.924,0.0,26.6,0.0,5.5,5.6,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7,52.7,0.0,0.0,0.0,0.9,0.0,0.0
Lasianthus_acuminatus,0.957,10.1,3.4,0.3,5.3,0.0,0.0,7.1,0.4,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,65.4,5.7
Ficus_virens,0.678,3.9,0.5,0.0,31.8,4.0,2.4,0.0,0.0,0.0,16.9,0.0,17.1,3.8,12.2,0.0,3.9,0.0,0.0,0.0,3.2
Litsea_floribunda,0.895,0.0,0.0,10.3,7.6,5.1,5.3,0.0,1.3,0.2,18.8,0.7,27.9,2.6,1.5,0.1,6.9,0.0,0.0,10.2,1.5
Ardisia_solanacea,0.922,0.0,0.4,0.0,9.6,0.8,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.4,0.0,0.2,31.8,0.0,0.0
Carallia_brachiata,0.915,0.0,0.0,1.0,1.0,0.0,0.0,1.6,11.9,0.4,0.0,0.0,27.5,0.0,0.0,3.5,51.1,0.3,0.4,1.1,0.3
Psychotria_dalzellii,0.973,0.0,11.7,0.0,6.1,0.0,0.0,0.0,1.6,0.3,0.0,0.9,5.4,7.5,5.1,0.0,20.9,5.0,12.6,0.6,22.2
Microtropis_latifolia,0.89,0.0,4.4,1.8,0.0,0.0,0.0,11.5,13.6,1.2,17.2,1.7,10.3,0.0,1.3,0.1,0.0,3.3,0.0,32.1,1.4
Elaeocarpus_venustus,0.999,0.0,0.0,2.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,60.8,35.5,0.0,0.0,0.0,0.8,0.0
Diospyros_nilagirica,0.859,0.0,0.3,0.0,0.0,0.0,0.0,93.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,1.5
Aglaia_bourdillonii,0.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,69.0,28.5,0.0,0.0,0.5,0.2,0.0
Smythea_bombaiensis,0.966,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,47.4,0.0,0.0,35.6,5.1,4.1
Syzygium_munronii,0.995,14.1,0.4,0.0,0.0,0.0,0.0,2.0,0.1,11.3,0.0,1.8,6.1,0.0,0.0,0.0,13.3,27.8,0.1,21.7,1.1
Memecylon_heyneanum,0.931,0.0,3.7,0.0,27.2,0.1,0.0,43.3,0.0,0.0,1.6,0.0,0.0,0.1,0.0,0.5,0.0,1.3,2.7,0.8,18.7
Glycosmis_pentaphylla,0.88,0.0,2.3,9.0,2.5,0.0,3.1,0.3,8.5,0.0,0.0,3.0,31.8,4.2,0.1,3.0,0.0,0.1,1.0,3.5,27.6
Psydrax_dicoccos,0.901,0.0,0.0,5.9,7.2,0.0,1.0,0.0,4.6,0.0,11.2,0.0,22.7,19.1,2.4,9.4,0.1,0.1,4.5,2.2,9.5
Pterygota_alata,0.942,0.0,3.5,1.6,0.0,0.0,16.9,45.7,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.7,0.2,1.2,0.8,0.0,28.1
Lasianthus_rostratus,0.977,3.1,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,6.3,1.9,0.0,0.0,53.3,25.1,0.0,1.9,4.4,0.3,0.0
Terminalia_bellirica,0.84,0.0,0.1,12.4,0.0,0.0,0.0,2.6,0.7,0.1,0.0,1.2,1.3,15.6,31.8,0.9,4.4,0.5,26.1,1.1,1.2
Garcinia_talbotii,0.907,0.0,1.6,0.6,0.2,14.4,3.4,0.0,0.0,0.0,1.1,1.5,32.9,8.5,0.0,9.1,0.0,13.7,4.5,4.2,4.3
Myristica_malabarica,0.833,0.0,5.5,41.8,5.5,0.0,0.0,0.1,0.2,0.0,0.2,1.2,34.0,0.5,3.5,0.0,0.0,0.0,2.2,2.1,3.1
Diospyros_crumenata,0.963,0.0,0.0,0.6,4.8,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,1.6,0.0,65.6,10.3,10.4,0.0,3.5
Aporosa_cardiosperma,0.933,0.0,0.0,20.4,0.2,0.0,1.1,1.7,0.0,0.5,0.3,0.9,15.3,9.0,27.3,0.9,0.3,1.1,17.4,3.0,0.5
Euonymus_angulatus,0.988,2.0,0.0,2.5,22.7,1.7,0.0,5.6,27.2,0.0,2.6,0.0,8.7,0.0,4.4,0.0,0.0,2.8,0.0,0.0,19.8
Diospyros_kedam,0.999,0.0,23.2,0.0,0.0,0.0,0.8,6.1,10.1,0.8,0.0,0.0,5.2,0.0,5.7,6.1,10.2,0.0,0.1,19.1,12.7
Tetrapilus_dioicus,0.979,0.0,0.1,0.1,1.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,6.3,3.0,52.0,0.0,1.3,26.8,7.3,1.1
Ficus_microcarpa,0.88,0.0,0.0,0.0,28.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.5,30.7,6.8
Pandanus_furcatus,0.94,1.8,3.3,0.6,0.2,0.0,0.0,47.6,0.0,0.0,6.1,0.0,9.1,0.4,0.3,0.0,6.2,0.5,0.3,3.3,20.3
Humboldtia_decurrens,0.996,0.0,4.0,0.0,2.2,0.0,0.0,62.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.9,0.0,0.0,0.0
Bhesa_indica,0.982,8.9,3.2,0.4,7.1,24.8,0.0,3.2,4.0,3.1,0.0,0.0,0.0,0.0,41.2,3.0,0.0,0.0,0.1,0.9,0.0
